#{"t_start": 1779674134.795204, "env_id": "None"}
r,l,t
-0.64662135,64,13.376361
9.366621,64,13.376361
-0.6368766,64,13.376361
9.356876,64,13.376361
-0.6332207,64,13.376361
9.353221,64,13.376361
-0.6391696,64,13.376361
9.359169,64,13.376361
-0.639975,64,13.376361
9.359975,64,13.377356
-0.6404071,64,13.377356
9.360407,64,13.377356
-0.6369248,64,13.377356
9.356925,64,13.377356
-0.6327742,64,13.377356
9.352774,64,13.377356
-0.6381025,64,13.377356
9.358103,64,13.377356
-0.6544362,66,24.772283
9.334436,66,24.773281
-0.6584641,66,24.773281
9.338464,66,24.773281
-0.6743293,66,24.773281
9.354329,66,24.773281
-0.6649881,66,24.773281
9.344988,66,24.773281
-0.6600135,66,24.773281
9.3400135,66,24.773281
-0.66697365,66,24.773281
9.346973,66,24.773281
-0.6679289,66,24.773281
9.347929,66,24.773281
-0.6782116,66,24.773281
9.3582115,66,24.773281
-0.6471154,66,24.773281
9.327115,66,24.773281
-0.6493344,65,34.188122
9.349335,65,34.188122
-0.6550531,65,34.188122
9.355053,65,34.188122
-0.6424501,65,34.188122
9.34245,65,34.188122
-0.64584255,65,34.188122
9.345842,65,34.188122
-0.649618,65,34.188122
9.349618,65,34.188122
-0.6422273,65,34.188122
9.342227,65,34.188122
-0.6450331,65,34.188122
9.345034,65,34.188122
-0.6386205,65,34.188122
9.338621,65,34.188122
-0.6651742,65,34.188122
9.365174,65,34.188122
-0.6664251,66,43.620082
9.346425,66,43.62109
-0.6599799,66,43.62109
9.33998,66,43.62109
-0.659986,66,43.62109
9.339986,66,43.62109
-0.657884,66,43.62109
9.337884,66,43.62109
-0.6678393,66,43.62109
9.347839,66,43.62109
-0.6566795,66,43.62109
9.336679,66,43.62109
-0.65710765,66,43.62109
9.337108,66,43.62109
-0.6557937,66,43.62109
9.335794,66,43.62109
-0.6569449,66,43.62109
9.336945,66,43.62109
-0.6392793,66,53.820739
9.31928,66,53.820739
-0.6694108,66,53.820739
9.349411,66,53.820739
-0.67355657,66,53.820739
9.353557,66,53.820739
-0.6698111,66,53.820739
9.349811,66,53.820739
-0.66452634,66,53.820739
9.344526,66,53.820739
-0.66786134,66,53.820739
9.347861,66,53.820739
-0.64794934,66,53.820739
9.32795,66,53.820739
-0.65857255,66,53.820739
9.3385725,66,53.820739
-0.6599027,66,53.820739
9.339903,66,53.82174
-0.66267645,65,63.984143
9.362677,65,63.985139
-0.64000225,65,63.985139
9.340002,65,63.985139
-0.6363252,65,63.985658
9.336325,65,63.985658
-0.64335865,65,63.985658
9.343358,65,63.985658
-0.63783556,65,63.985658
9.337835,65,63.985658
-0.6458537,65,63.985658
9.345854,65,63.985658
-0.6664198,65,63.985658
9.36642,65,63.985658
-0.6560939,65,63.985658
9.356093,65,63.985658
-0.6518479,65,63.985658
9.351848,65,63.986756
-0.657019,66,74.199084
9.337019,66,74.200187
-0.6547736,66,74.200187
9.334774,66,74.200187
-0.65978247,66,74.200187
9.339783,66,74.200187
-0.6592137,66,74.200187
9.339213,66,74.200187
-0.6555573,66,74.200187
9.335558,66,74.200187
-0.66377836,66,74.200187
9.343778,66,74.200187
-0.65376925,66,74.200187
